No.,Player,Position,Debut,Raw-Birth-Data,BirthPlace,County,Province,Country
135,Joseph Chambers,Fwd,"v England Lansdowne Road, 6 Feb 1886","Born
November 25, 1864, Co Cavan
   ",Cavan,Cavan,Ulster,Republic of Ireland
136,Victor le Fanu,Fwd,"v England Lansdowne Road, 6 Feb 1886","Born
October 14, 1865, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
137,Ralph Massy-Westropp,Fwd,"v England Lansdowne Road, 6 Feb 1886","Born
April 23, 1864, Worcester, England
   ",Worcester,Unkown,Unknown,England
138,Maxy Carpendale,3Q,"v Scotland Edinburgh, 20 Feb 1886","Born
July 3, 1864, Mazagan, Bombay, India
   ",Mazagan,Unkown,Unknown,India
139,Robert Herrick,HB,"v Scotland Edinburgh, 20 Feb 1886","Born
January 23, 1864, Templemartin, Cork
   ",Cork,Cork,Munster,Republic of Ireland
140,James McMordie,Fwd,"v Scotland Edinburgh, 20 Feb 1886","Born
January 1, 1864, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
141,Francis Miller,Fwd,"v Scotland Edinburgh, 20 Feb 1886","Born
October 5, 1865, ?
   ",Unknown,Unkown,Unknown,Unknown
142,Joseph Ross,HB,"v Scotland Edinburgh, 20 Feb 1886","Born
date unknown, Hollywood, Down
   ",Hollywood,Down,Ulster,Northern Ireland
143,Frank Stoker,Fwd,"v Scotland Edinburgh, 20 Feb 1886","Born
May 29, 1866, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
144,James Waites,Fwd,"v Scotland Edinburgh, 20 Feb 1886","Born
(guess: regd Q3), Preston, Lancashire, England
   ",Preston,Unkown,Unknown,England
145,John Dick,Fwd,"v England Lansdowne Road, 5 Feb 1887","Born
April 4, 1865, Lisburn.Antrim
   ",Lisburn,Antrim,Ulster,Northern Ireland
146,John Macaulay,Fwd,"v England Lansdowne Road, 5 Feb 1887","Born
January 1867, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
147,James McLaughlin,HB,"v England Lansdowne Road, 5 Feb 1887","Born
April 23, 1864, ?
   ",Unknown,Unkown,Unknown,Unknown
148,Robert Montgomery,3Q,"v England Lansdowne Road, 5 Feb 1887","Born
February 1, 1866, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
149,Daniel Rambaut,3Q,"v England Lansdowne Road, 5 Feb 1887","Born
August 6, 1865, Waterford
   ",Waterford,Waterford,Munster,Republic of Ireland
150,Robert Stevenson,Fwd,"v England Lansdowne Road, 5 Feb 1887","Born
March 27, 1866, Dungannon
   ",Dungannon,Tyrone,Ulster,Northern Ireland
151,Charles Tillie,3Q,"v England Lansdowne Road, 5 Feb 1887","Born
October 12, 1864, Londonderry
   ",Derry,Derry,Ulster,Northern Ireland
152,Dolway Walkington,FB,"v England Lansdowne Road, 5 Feb 1887","Born
January 25, 1867, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
153,Edward Walshe,Fwd,"v England Lansdowne Road, 5 Feb 1887","Born
March 4, 1868, ?
   ",Unknown,Unkown,Unknown,Unknown
154,Malcolm Moore,Fwd,"v Scotland Belfast, 19 Feb 1887","Born
February 4, 1864, Glasnevin, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
155,W. Davison,Fwd,"v Wales Birkenhead, 12 Mar 1887","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
156,Patrick O'Connor,HB,"v Wales Birkenhead, 12 Mar 1887","Born
April 18, 1863, ?
   ",Unknown,Unkown,Unknown,Unknown
157,Thomas Taggart,Fwd,"v Wales Birkenhead, 12 Mar 1887","Born
October 13, 1866, Bushmills
   ",Bushmills,Antrim,Ulster,Northern Ireland
158,William Ekin,Fwd,"v Wales Lansdowne Road, 3 Mar 1888","Born
January 29, 1866, Coagh, Tyrone
   ",Coagh,Tyrone,Ulster,Northern Ireland
159,Robert Mayne,Fwd,"v Wales Lansdowne Road, 3 Mar 1888","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
160,James Moffatt,Fwd,"v Wales Lansdowne Road, 3 Mar 1888","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
161,Ernest Stoker,Fwd,"v Wales Lansdowne Road, 3 Mar 1888","Born
April 1, 1864, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
162,William Morton,Fwd,"v Scotland Edinburgh, 10 Mar 1888","Born
July 20, 1866, Nenagh, Tipperary
   ",Nenagh,Tipperary,Munster,Republic of Ireland
163,Alfred Walpole,3Q,"v Scotland Edinburgh, 10 Mar 1888","Born
October 26, 1865, Roscommon
   ",Roscommon,Roscommon,Connaught,Republic of Ireland
164,Herbert Andrews,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
October 8, 1866, Carnasure, Co Down
   ",Carnasure,Down,Ulster,Northern Ireland
165,Michael Bulger,3Q,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
May 15, 1867, Co Clare
   ",Unknown,Clare,Munster,Republic of Ireland
166,Taffy Edwards,FB,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
April 22, 1866, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
167,Edmund Forrest,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
October 5, 1870, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
168,Joseph Jameson,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
October 26, 1867, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
169,John Lytle,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
August 12, 1869, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
170,John O'Conor,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
circa 1866, Letterkenny
   ",Letterkenny,Donegal,Ulster,Republic of Ireland
171,James Stevenson,HB,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
August 28, 1928, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
172,David Woods,3Q,"v NZ Natives Lansdowne Road, 1 Dec 1888","Born
April 1, 1868, ?
   ",Unknown,Unkown,Unknown,Unknown
173,Thomas Donovan,Fwd,"v Scotland Belfast, 16 Feb 1889","Born
February 27, 1867, Blarney, Cork
   ",Blarney,Cork,Munster,Republic of Ireland
174,Luke Holmes,FB,"v Scotland Belfast, 16 Feb 1889","Born
March 11, 1868, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
175,Llewellyn Nash,Fwd,"v Scotland Belfast, 16 Feb 1889","Born
July 23, 1868, Kinsale, Cork
   ",Kinsale,Cork,Munster,Republic of Ireland
176,Thomas Pedlow,3Q,"v Scotland Belfast, 16 Feb 1889","Born
July 9, 1866, ?
   ",Unknown,Unkown,Unknown,Unknown
177,Charles Stack,Fwd,"v Scotland Belfast, 16 Feb 1889","Born
September 30, 1867, Lifford
   ",Lifford,Donegal,Ulster,Republic of Ireland
178,Robert Yeates,3Q,"v Scotland Belfast, 16 Feb 1889","Born
December 22, 1865, Mooltan, W Bengal, India
   ",Mooltan,Unkown,Unknown,India
179,John Cotton,Fwd,"v Wales Swansea, 2 Mar 1889","Born
circa 1863, ?
   ",Unknown,Unkown,Unknown,Unknown
180,Robert Dunlop,3Q,"v Wales Swansea, 2 Mar 1889","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
181,Alaster McDonnell,HB,"v Wales Swansea, 2 Mar 1889","Born
January 20, 1867, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
182,Henry Richey,Fwd,"v Wales Swansea, 2 Mar 1889","Born
October 13, 1862, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
183,William Davis,Fwd,"v Scotland Edinburgh, 22 Feb 1890","Born
May 15, 1870, Firozpur, India
   ",Firozpur,Unkown,Unknown,India
184,Eddie Doran,Fwd,"v Scotland Edinburgh, 22 Feb 1890","Born
October 19, 1867, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
185,Harry Gifford,FB,"v Scotland Edinburgh, 22 Feb 1890","Born
November 27, 1866, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
186,Ralph Johnston,3Q,"v Scotland Edinburgh, 22 Feb 1890","Born
circa 1865, Dún Laoghaire, Dublin
   ",Dún Laoghaire,Dublin,Leinster,Republic of Ireland
187,J. Roche,Fwd,"v Scotland Edinburgh, 22 Feb 1890","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
188,Hugh Galbraith,Fwd,"v Wales Lansdowne Road, 1 Mar 1890","Born
October 7, 1866, Londonderry
   ",Derry,Derry,Ulster,Northern Ireland
189,Benjamin Tuke,HB,"v England Blackheath, 15 Mar 1890","Born
circa 1869, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
190,Sam Lee,3Q,"v England Lansdowne Road, 7 Feb 1891","Born
September 26, 1871, Donaghadee, Down
   ",Donaghadee,Down,Ulster,Northern Ireland
191,Charles Rooke,Fwd,"v England Lansdowne Road, 7 Feb 1891","Born
September 24, 1869, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
192,Edwin Cameron,HB,"v Scotland Belfast, 21 Feb 1891","Born
August 6, 1868, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
193,George Collopy,Fwd,"v Scotland Belfast, 21 Feb 1891","Born
March 23, 1867, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
194,Edward Frazer,Fwd,"v Scotland Belfast, 21 Feb 1891","Born
April 11, 1867, Lavagh, Drumkeeran
   ",Drumkeeran,Leitrim,Connaught,Republic of Ireland
195,Robert Stokes,Fwd,"v Scotland Belfast, 21 Feb 1891","Born
November 14, 1865, Woolwich, Kent, England
   ",Woolwich,Unkown,Unknown,England
196,Herbert Wells,3Q,"v Scotland Belfast, 21 Feb 1891","Born
May 1, 1871, Agra, W Bengal, India
   ",Agra,Unkown,Unknown,India
197,Thomas Fogarty,Fwd,"v Wales Llanelli, 7 Mar 1891","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
198,Robert Pedlow,HB,"v Wales Llanelli, 7 Mar 1891","Born
August 16, 1868, ?
   ",Unknown,Unkown,Unknown,Unknown
199,William Gardiner,3Q,"v England Manchester, 6 Feb 1892","Born
circa 1870, Armagh, Northern Ireland
   ",Armagh,Armagh,Ulster,Northern Ireland
200,T.J. Johnston,Fwd,"v England Manchester, 6 Feb 1892","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
201,Thomas Peel,FB,"v England Manchester, 6 Feb 1892","Born
January 15, 1867, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
202,Robert Smith,Fwd,"v England Manchester, 6 Feb 1892","Born
December 12, 1870, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
203,Thomas Thornhill,HB,"v England Manchester, 6 Feb 1892","Born
December 12, 1867, Fintona, Tyrone
   ",Fintona,Tyrone,Ulster,Northern Ireland
204,Arthur Wallis,Fwd,"v England Manchester, 6 Feb 1892","Born
June 24, 1871, Donnycarney, Dublin
   ",Donnycarney,Dublin,Leinster,Republic of Ireland
205,Coo Clinch,Fwd,"v Scotland Edinburgh, 20 Feb 1892","Born
November 28, 1867, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
206,Frederick Davies,HB,"v Scotland Edinburgh, 20 Feb 1892","Born
December 31, 1868, Rathdown, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
207,Michael Egan,Fwd,"v England Lansdowne Road, 4 Feb 1893","Born
April 12, 1872, ?
   ",Unknown,Unkown,Unknown,Unknown
208,Sam Gardiner,FB,"v England Lansdowne Road, 4 Feb 1893","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
209,Robert Johnston,Fwd,"v England Lansdowne Road, 4 Feb 1893","Born
August 13, 1872, Laputa, Co Donegal
   ",Donegal,Donegal,Ulster,Republic of Ireland
210,Harry Lindsay,Fwd,"v England Lansdowne Road, 4 Feb 1893","Born
circa 1871, Armagh, Northern Ireland
   ",Armagh,Armagh,Ulster,Northern Ireland
211,Walter Brown,HB,"v Scotland Belfast, 18 Feb 1893","Born
October 29, 1867, Donnybrook, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
212,Herbert Forrest,Fwd,"v Scotland Belfast, 18 Feb 1893","Born
February 4, 1864, Donnybrook, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
213,Lucius Gwynn,3Q,"v Scotland Belfast, 18 Feb 1893","Born
May 25, 1873, Ramelton, Donegal
   ",Ramelton,Donegal,Ulster,Republic of Ireland
214,Bryan O'Brien,Fwd,"v Scotland Belfast, 18 Feb 1893","Born
July 12, 1872, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
215,Robert Hamilton,Fwd,"v Wales Llanelli, 11 Mar 1893","Born
January 21, 1870, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
216,William Sparrow,FB,"v Wales Llanelli, 11 Mar 1893","Born
circa 1869, Kilkenny
   ",Kilkenny,Kilkenny,Leinster,Republic of Ireland
217,Tom Crean,Fwd,"v England Blackheath, 3 Feb 1894","Born
April 19, 1873, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
218,James Lytle,Fwd,"v England Blackheath, 3 Feb 1894","Born
May 18, 1875, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
219,George Walmsley,Fwd,"v England Blackheath, 3 Feb 1894","Born
December 20, 1868, Navan, Meath
   ",Navan ,Meath,Leinster,Republic of Ireland
220,Andrew Bond,Fwd,"v Scotland Lansdowne Road, 24 Feb 1894","Born
August 17, 1871, Londonderry
   ",Derry,Derry,Ulster,Northern Ireland
221,Patrick Grant,FB,"v Scotland Lansdowne Road, 24 Feb 1894","Born
December 1871, Donnybrook, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
222,Alfred Brunker,Fwd,"v England Lansdowne Road, 2 Feb 1895","Born
February 15, 1875, Rathmines, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
223,Hugh McCoull,Fwd,"v England Lansdowne Road, 2 Feb 1895","Born
November 20, 1872, Castlereagh, Down
   ",Castlerea,Down,Ulster,Northern Ireland
224,Louis Magee,HB,"v England Lansdowne Road, 2 Feb 1895","Born
May 1, 1874, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
225,Joseph Magee,W,"v England Lansdowne Road, 2 Feb 1895","Born
March 25, 1870, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
226,Thomas Stevenson,C,"v England Lansdowne Road, 2 Feb 1895","Born
August 19, 1872, Londonderry
   ",Derry,Derry,Ulster,Northern Ireland
227,Glascott Symes,FB,"v England Lansdowne Road, 2 Feb 1895","Born
July 11, 1869, Westport, Mayo
   ",Westport,Mayo,Connaught,Republic of Ireland
228,John Fulton,FB,"v Scotland Edinburgh, 2 Mar 1895","Born
circa 1871, ?
   ",Unknown,Unkown,Unknown,Unknown
229,Edward MacIlwaine,Fwd,"v Scotland Edinburgh, 2 Mar 1895","Born
April 9, 1873, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
230,Alexander Montgomery,C,"v Scotland Edinburgh, 2 Mar 1895","Born
September 26, 1871, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
231,Jack O'Connor,W,"v Scotland Edinburgh, 2 Mar 1895","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
232,Bill O'Sullivan,Fwd,"v Scotland Edinburgh, 2 Mar 1895","Born
August 3, 1873, Batterfield, Co Kerry
   ",Batterfield,Kerry,Munster,Republic of Ireland
233,Michael Delaney,HB,"v Wales Cardiff, 16 Mar 1895","Born
circa 1872, ?
   ",Unknown,Unkown,Unknown,Unknown
234,Arthur Gwynn,W,"v Wales Cardiff, 16 Mar 1895","Born
June 11, 1874, Ramelton, Donegal
   ",Ramelton,Donegal,Ulster,Republic of Ireland
235,Glyn Allen,HB,"v England Leeds, 1 Feb 1896","Born
March 14, 1874
   ",Unknown,Unkown,Unknown,Unknown
236,Lawrence Bulger,W,"v England Leeds, 1 Feb 1896","Born
February 5, 1870, Co Clare
   ",Unknown,Clare,Munster,Republic of Ireland
237,Bill Byron,Fwd,"v England Leeds, 1 Feb 1896","Born
March 6, 1876, Londonderry, Northern Ireland
   ",Derry,Derry,Ulster,Northern Ireland
238,James Sealy,Fwd,"v England Leeds, 1 Feb 1896","Born
March 19, 1876, Dundrum, Dublin
   ",Dundrum,Dublin,Leinster,Republic of Ireland
239,George McAllan,FB,"v Scotland Lansdowne Road, 15 Feb 1896","Born
February 2, 1878, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
240,John McIlwaine,Fwd,"v England Lansdowne Road, 6 Feb 1897","Born
August 3, 1874, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
241,John Ryan,Fwd,"v England Lansdowne Road, 6 Feb 1897","Born
August 2, 1988, Cork
   ",Cork,Cork,Munster,Republic of Ireland
242,Michael Ryan,Fwd,"v England Lansdowne Road, 6 Feb 1897","Born
circa 1871, ?
   ",Unknown,Unkown,Unknown,Unknown
243,Pierce O'Brien-Butler,FB,"v Scotland Edinburgh, 20 Feb 1897","Born
January 12, 1877, Tipperary
   ",Tipperary,Tipperary,Munster,Republic of Ireland
244,John Davis,Fwd,"v England Richmond, 5 Feb 1898","Born
March 18, 1874, Borris, Carlow
   ",Borris,Carlow,Leinster,Republic of Ireland
245,James Franks,Fwd,"v England Richmond, 5 Feb 1898","Born
September 10, 1875, Rathmines, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
246,Carmichael Purser,W,"v England Richmond, 5 Feb 1898","Born
September 16, 1876
   ",Unknown,Unkown,Unknown,Unknown
247,Frederick Smithwick,C,"v Scotland Belfast, 19 Feb 1898","Born
March 18, 1879, Kildare
   ",Kildare,Kildare,Leinster,Republic of Ireland
248,Ainsworth Barr,HB,"v Wales Limerick, 19 Mar 1898","Born
December 9, 1875, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
249,Thomas Little,Fwd,"v Wales Limerick, 19 Mar 1898","Born
July 23, 1874, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
250,Ned McCarthy,Fwd,"v Wales Limerick, 19 Mar 1898","Born
circa 1874, Cork
   ",Cork,Cork,Munster,Republic of Ireland
251,Thomas Ahearne,Fwd,"v England Lansdowne Road, 4 Feb 1899","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
252,Barney Allison,C,"v England Lansdowne Road, 4 Feb 1899","Born
June 28, 1880, Monaghan
   ",Monaghan,Monaghan,Ulster,Republic of Ireland
253,William Brown,W,"v England Lansdowne Road, 4 Feb 1899","Born
August 19, 1943, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
254,Ian Davidson,W,"v England Lansdowne Road, 4 Feb 1899","Born
August 10, 1877, Ballyhackamore, Down
   ",Ballyhackamore,Down,Ulster,Northern Ireland
255,George Harman,C,"v England Lansdowne Road, 4 Feb 1899","Born
June 6, 1874, Crosshaven, Co Cork
   ",Cork,Cork,Munster,Republic of Ireland
256,Tom McGown,Fwd,"v England Lansdowne Road, 4 Feb 1899","Born
February 22, 1876, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
257,Edward Campbell,W,"v Scotland Inverleith, 18 Feb 1899","Born
January 17, 1880, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
258,Gerry Doran,W,"v Scotland Inverleith, 18 Feb 1899","Born
July 15, 1877, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
259,Newry Meares,Fwd,"v Scotland Inverleith, 18 Feb 1899","Born
December 18, 1874, Mullingar, Newry
   ",Newry,Down,Ulster,Northern Ireland
260,Carl Reid,C,"v Scotland Inverleith, 18 Feb 1899","Born
February 23, 1877, Londonderry
   ",Derry,Derry,Ulster,Northern Ireland
261,Cecil Moriarty,Fwd,"v Wales Cardiff, 18 Mar 1899","Born
January 28, 1877, Tralee
   ",Tralee,Kerry,Munster,Republic of Ireland
262,Ellie Allen,Fwd,"v England Richmond, 3 Feb 1900","Born
October 14, 1880
   ",Unknown,Unkown,Unknown,Unknown
263,John Coffey,Fwd,"v England Richmond, 3 Feb 1900","Born
May 6, 1877, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
264,John Ferris,SH,"v England Richmond, 3 Feb 1900","Born
circa 1875, ?
   ",Unknown,Unkown,Unknown,Unknown
265,Fred Gardiner,Fwd,"v England Richmond, 3 Feb 1900","Born
May 31, 1874, Keady, Armagh, Northern Ireland
   ",Keady,Armagh,Ulster,Northern Ireland
